icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
4baa86,THY8MX,Turkey,1767007114.0,1767007114,4.6924,44.9683,10363.2,False,222.49,68.0,0.0,,10447.02,2335,False,0,275.9392519904996
4baa84,THY1PN,Turkey,1767007113.0,1767007114,21.3373,47.9815,10363.2,False,178.0,323.46,0.0,,10226.04,1000,False,0,268.73357090325914
3452c9,VLG9WY,Spain,1767007114.0,1767007114,-0.624,38.4024,11285.22,False,229.72,236.42,0.0,,11269.98,3226,False,0,274.81082970744615
4baa81,THY1422,Turkey,1767003308.0,1767007114,24.2729,57.3235,10668.0,False,243.37,187.53,0.0,,9136.38,4441,False,0,282.1062909440588
4baa7a,THY4PD,Turkey,1767007113.0,1767007113,23.0151,43.699,10370.82,False,200.9,295.32,0.0,,10317.48,3214,False,0,285.8703651597729
8963d8,UAE1LJ,United Arab Emirates,1767007042.0,1767007044,55.5965,24.234,7802.88,False,235.43,188.17,7.48,,8077.2,0557,False,0,274.78528907168095
4baa99,TKJ5KZ,Turkey,1767007114.0,1767007114,12.9775,49.0128,10972.8,False,201.56,306.49,-0.33,,11010.9,3256,False,0,293.6882905874279
8963e2,UAE5M,United Arab Emirates,1767007105.0,1767007112,52.7226,26.03,9753.6,False,210.97,296.5,0.0,,10111.74,0502,False,0,271.44494982143783
a4418c,UAL1202,United States,1767007114.0,1767007114,-88.5664,13.4798,10668.0,False,241.97,133.71,0.0,,11231.88,7240,False,0,284.81247277803186
8963e1,UAE392,United Arab Emirates,1767007106.0,1767007106,96.537,14.5139,11277.6,False,266.26,104.09,0.0,,11948.16,,False,0,270.57228376205666
4baa96,TKJ7AM,Turkey,1767006939.0,1767006942,29.4181,40.9273,556.26,False,65.12,244.24,-5.2,,601.98,,False,0,83.65855023740103
8963e4,UAE903,United Arab Emirates,1767007113.0,1767007113,52.4595,25.9631,12192.0,False,208.0,295.8,0.0,,12694.92,0556,False,0,264.0842680936762
4baa94,TKJ6ZM,Turkey,1767007113.0,1767007113,29.6761,40.0918,6995.16,False,219.9,170.85,9.1,,6888.48,,False,0,272.25365434995626
400795,LOG44L,United Kingdom,1767006941.0,1767006941,3.7067,58.3842,9014.46,False,228.95,70.3,-15.61,,8945.88,4235,False,0,250.41608375135326
70c0fd,OMA101,Oman,1767007105.0,1767007112,55.049,26.7279,10965.18,False,202.06,308.59,0.0,,11361.42,3507,False,0,267.1082961356897
4baa92,THY9CU,Turkey,1767007114.0,1767007114,19.1573,47.5412,10675.62,False,264.61,133.03,-0.33,,10614.66,7617,False,0,299.4813075208093
